Co_ID,PO ID,Exchange,Name," Root
Ticker "," Market Cap (C$)
30-November-2020 "," O/S Shares
30-November-2020 ", Technology Sub-Sector ,Sector, Sub-Sector ,"HQ
Location","HQ
Region",Listing Type,Listing Date,QT Date,RTO Date,Date of Amalgamation,Trading on OTC,"CPC/
Former
CPC","2020
Venture 50",S&P/TSX Venture Composite Index,USA City,USA State,Asia Region,Isreal Related,Section," Volume YTD
30-November-2020 "," Value (C$) YTD
30-November-2020 "," Number of 
Trades YTD
30-November-2020 "," Number of
Months in
Trading Data "
V-04204,1171065,TSXV,01 Communique Laboratory Inc.,ONE,"  32,136,641 ","  91,818,973 ",Software,Technology,,ON,Canada,TSX Comedown,20140731,,,,,No,,,,,,,Tier2,"  19,017,271 ","  4,534,269 ","  3,557 ",11
V-04427,1181078,TSXV,A2Z Smart Technologies Corp.,AZ,"  48,749,430 ","  62,499,269 ",Hardware & Equipment,Technology,,Israel,Other,QT,20180418,20191223,,,,Yes,,,,,,Y,Tier2,"  6,945,186 ","  4,321,562 ","  2,566 ",11
V-01580,1099471,TSXV,Acceleware Ltd.,AXE,"  13,736,992 ","  105,669,170 ",Software,Technology,,AB,Canada,QT,20050406,20060119,,,,Yes,,Y,,,,,Tier2,"  5,379,650 ","  572,389 ",  783 ,11
V-02096,1024008,TSXV,Ackroo Inc.,AKR,"  17,365,206 ","  102,148,269 ",Internet Software & Services,Technology,,ON,Canada,RTO,,,20121010,,,Yes,,,,,,,Tier2,"  12,856,361 ","  1,682,586 ","  1,007 ",11
V-04500,1181511,TSXV,Adcore Inc.,ADCO,"  35,430,782 ","  56,239,336 ",Internet Software & Services,Technology,,Israel,Other,QT,20181026,20190529,,,,Yes,,,,,,Y,Tier1,"  9,942,722 ","  6,276,283 ","  3,195 ",11
V-00041,10983,TSXV,Advent-AWI Holdings Inc.,AWI,"  12,293,578 ","  11,935,513 ",Communication Technology,Technology,,BC,Canada,,,,,,,No,,,,,,,Tier2,"  291,044 ","  303,908 ",  150 ,11
V-03017,1124605,TSXV,AirIQ Inc.,IQ,"  10,141,842 ","  29,828,947 ",Software,Technology,,ON,Canada,TSX Comedown,20090909,,,,,No,,,,,,,Tier2,"  8,618,853 ","  2,433,448 ","  1,639 ",11
V-00081,1094985,TSXV,Alphinat Inc.,NPA,"  3,473,193 ","  63,148,956 ",Internet Software & Services,Technology,,Quebec,Canada,QT,,20050427,,,,Yes,,,,,,,Tier2,"  3,457,804 ","  160,742 ",  126 ,11
V-01433,1064945,TSXV,AnalytixInsight Inc.,ALY,"  62,464,363 ","  81,122,549 ",Software,Technology,,BC,Canada,,,,,,OTCQB,No,Y,Y,,,,,Tier2,"  24,216,579 ","  11,623,417 ","  6,314 ",11
V-04125,1163405,TSXV,Aquarius AI Inc.,AQUA,"  2,360,780 ","  24,850,316 ",Communication Technology,Technology,,BC,Canada,QT,20130507,20180131,,,,Yes,,,,,,,Tier2,"  31,819,972 ","  1,067,666 ","  1,946 ",11
V-02084,30646,TSXV,ARHT Media Inc.,ART,"  30,589,103 ","  92,694,251 ",Software,Technology,,ON,Canada,RTO,,,20141017,,,No,,,,,,,Tier2,"  122,478,440 ","  51,970,556 ","  28,700 ",11
V-00141,1019948,TSXV,Armada Data Corporation,ARD,"  1,855,378 ","  17,670,265 ",IT Consulting & Services,Technology,,ON,Canada,,,,,,,No,,,,,,,Tier2,"  3,837,448 ","  330,730 ",  227 ,11
V-04375,1179775,TSXV,Astron Connect Inc.,AST,"  2,880,612 ","  82,303,211 ",Internet Software & Services,Technology,,BC,Canada,QT,20171003,20180830,,,,Yes,,,,,,,Tier2,"  870,273 ","  37,406 ",  41 ,10
V-02754,1117125,TSXV,ATW Tech Inc.,ATW,"  8,640,342 ","  192,007,606 ",Software,Technology,,Quebec,Canada,RTO,20080320,20100324,20121211,,,Yes,,,,,,,Tier2,"  23,447,679 ","  817,007 ","  1,234 ",11
V-02434,1109863,TSXV,Avante Logixx Inc.,XX,"  26,490,005 ","  21,192,004 ",Hardware & Equipment,Technology,,ON,Canada,QT,20070112,20080404,,,,Yes,,,,,,,Tier2,"  4,617,479 ","  4,961,456 ","  1,259 ",11
V-03910,1150455,TSXV,Axion Ventures Inc.,AXV,"  46,671,994 ","  245,642,076 ",Software,Technology,Gaming,China,Asia,QT from NEX,20111202,20160518,,,OTCQX,Yes,,,,,Shanghai,,Tier1,"  2,215,329 ","  485,991 ",  617 ,8
V-01507,1091046,TSXV,Backstageplay Inc.,BP,"  1,534,671 ","  15,346,706 ",Internet Software & Services,Technology,,BC,Canada,Other,20050617,,,,,No,,,,,,,Tier2,"  1,542,124 ","  113,329 ",  206 ,7
V-02641,1114705,TSXV,betterU Education Corp.,BTRU,"  1,565,435 ","  78,271,751 ",Internet Software & Services,Technology,,ON,Canada,COB,20170308,,,,,Yes,,,,,,,Tier2,"  8,128,389 ","  360,608 ",  495 ,7
V-01794,1062186,TSXV,BeWhere Holdings Inc.,BEW,"  19,774,809 ","  87,888,039 ",Software,Technology,,ON,Canada,RTO from NEX,,,20160209,,OTCQB,No,,,,,,,Tier2,"  27,799,847 ","  4,383,085 ","  3,727 ",11
V-04579,1182715,TSXV,Bitfarms Ltd.,BITF,"  69,437,234 ","  85,724,980 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,Quebec,Canada,Other,20190716,,,,,No,,,,,,Y,Tier2,"  38,847,818 ","  21,785,213 ","  25,022 ",11
V-02557,1112686,TSXV,Blackline Safety Corp.,BLN,"  357,011,122 ","  48,310,030 ",Internet Software & Services,Technology,,AB,Canada,QT,20070709,20090305,,,,Yes,,Y,,,,,Tier2,"  4,035,514 ","  24,409,318 ","  3,271 ",11
V-01089,18596,TSXV,BlockchainK2 Corp.,BITK,"  5,931,501 ","  16,250,687 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,COB,20180530,,,,OTCQB,No,,,,,,,Tier2,"  3,549,106 ","  1,232,761 ","  1,401 ",11
V-01730,1092769,TSXV,BlockMint Technologies Inc.,BKMT,"  6,197,670 ","  44,269,068 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,USA,USA,RTO from NEX,,,20190221,,,No,,,Portland,OR,,,Tier2,"  942,788 ","  97,776 ",  119 ,10
